"person","cars"
"Derrick Leach Jr.","Audi A3"
"Diana Johnson","Hyundai Avante"
"Diana Jones","Tesla Model 3"
"Diane Griffin","Audi A3"
"Diane Johnson","Lada Kalina"
"Dominic Perez","Lada Samara"
"Dominic Taylor","Lada Samara"
"Donald Carr","Tesla Model 3"
"Donald Reed","Audi A3"
"Donna Jefferson","BMW M3"
"Douglas Mcguire","BMW F80"
"Douglas Meyer","Tesla Model X"
"Dr. Brian Duncan","Hyundai Elantra"
"Dr. Christine Knapp","Lada Vesta"
"Dr. Craig Henderson","BMW M3"
"Dr. Maria Gross MD","Lada Kalina"
"Dustin Martin","Tesla Model X"
"Dustin Rogers","Audi A3"
"Dwayne Wang","Lada Vesta"
"Eddie Rice","Hyundai Elantra"
"Eduardo Marshall","Tesla Model X"
"Edward Booker","Audi RS3"
"Edward Richardson II","Kia Rio"
"Edward Shaw","Audi S3"
"Elizabeth Coleman","BMW F80"
"Elizabeth Diaz","Kia Rio"
"Elizabeth Flores","Audi RS3"
"Elizabeth Gutierrez","Tesla Model X"
"Elizabeth Hunter","BMW F30"
"Elizabeth Nelson","Audi S3, Kia K5"
"Elizabeth Tucker","Audi RS3"
"Eric Anderson","Audi A3"
"Eric Burton","BMW F80"
"Eric Daniels","BMW F30"
"Eric Gibson","Hyundai Elantra"
"Eric Ross","Kia Rio"
"Erica Miller","Lada Samara, Hyundai Avante"
"Erica Oneal MD","Kia K5"
"Erika Hall","Tesla Model S"
"Erin Williams","Audi S3"
"Evan Terry","Hyundai Avante"
"Evelyn Nichols","Tesla Model Y"
"Evelyn Valencia","Lada Kalina"
"Felicia White","Tesla Model S"
"Frances Logan","Audi A3"
"Frank Wilson","Lada Samara"
"Gabrielle Santana","Lada Vesta"
"Gail Campos","Tesla Model Y"
"Gary Brown","Hyundai Elantra"
"George Howard","Tesla Model Y, Audi A3"
"George Marshall","Tesla Model Y"
"George Wright","Tesla Model S"
"Gerald Campbell","Tesla Model 3"
"Gina Martin","Audi A3"
"Glen Kim","Lada Vesta"
"Glenda Davis","Lada Vesta"
"Gloria Khan","Tesla Model X"
"Gregory Marshall","Hyundai Sonata"
"Gwendolyn Wilcox","Lada Samara"
"Harry Rogers","Tesla Model Y, Tesla Model X"
"Heather Gutierrez","Tesla Model Y, Hyundai Elantra"
"Heather Vasquez","Audi A3"
"Heidi Brown","Hyundai Sonata"
"Heidi Dixon","Hyundai Sonata"
"Holly Harris","Hyundai Elantra"
"Ian Brown","Tesla Model Y"
"Isaiah Burns","Tesla Model X"
"Isaiah Edwards","Hyundai Avante"
"Jack Miller","BMW M3"
"Jaclyn Reynolds","Porsche 911"
"Jacqueline Cooper","BMW F80"
"Jacqueline Lopez","Audi RS3"
"Jacqueline Schaefer","Audi S3"
"James Fields","Tesla Model Y"
"James Gray","Hyundai Sonata"
"James Jones","BMW F30"
"James Lutz","BMW F80"
"James Moody","Hyundai Sonata"
"James Serrano","Kia K5"
"James Turner","BMW F30, BMW M3"
"James Young","Tesla Model S"
"Jamie Mitchell","Audi S3"
"Jamie Smith","Porsche 911, Tesla Model X"
"Janice Thompson","Lada Samara"
"Jasmine Contreras","Tesla Model Y"
"Jasmine Williams","Audi A3"
"Jason Baker","Tesla Model X"
"Jason Berger","BMW F80"
"Jason Brown","Hyundai Elantra"
"Jason Carter","BMW F30"
"Jason Cowan","Hyundai Elantra"
"Jason Davis","Tesla Model X, Audi RS3"
"Jason Fowler","Tesla Model S, Lada Vesta"
"Jason Garcia","Kia Rio"
"Jason Hawkins","Porsche 911"
"Jason Leon","Tesla Model S"
"Jason Martinez","Audi RS3, Audi A3"
"Jason Murphy","BMW M3"
"Jason Richards","Tesla Model Y, Lada Vesta"
"Jason Robertson","Audi S3"
"Jason Stewart","Tesla Model Y"
"Jeff Martinez","Audi S3"
"Jeff Pineda","Tesla Model Y"
"Jenna Garcia","BMW F30"
"Jennifer Austin","Hyundai Sonata"
"Jennifer Baird","Audi A3"
"Jennifer Bell","Lada Vesta"
"Jennifer Cooper","Tesla Model 3"
"Jennifer Cross","Lada Kalina"
"Jennifer Evans","Kia Rio"
"Jennifer Hess","Kia Rio"
"Jennifer Hull","Audi S3, Hyundai Avante"
"Jennifer Mccullough MD","Audi A3"
"Jennifer Moses","BMW F80"
"Jennifer Murray","Audi A3"
"Jennifer Rodriguez","Lada Vesta"
"Jennifer Shea","BMW F30"
"Jennifer Sloan","Lada Vesta"
"Jeremy Jackson","Kia Rio, Tesla Model S"
"Jeremy Jennings","Kia Rio, Kia K5"
"Jermaine Berger","Hyundai Elantra"
"Jerry Aguirre","Tesla Model 3"
"Jesse Carlson","Hyundai Elantra"
"Jesse Nguyen","Tesla Model S, Audi A3"
"Jessica Bowman","BMW M3"
"Jessica Fischer","Tesla Model S"
"Jessica Jacobs","Porsche 911"
"Jessica Lane","Tesla Model X"
"Jessica Murphy","Audi RS3"
"Jessica Nichols","Tesla Model Y"
"Jessica Price","Kia Rio"
"Jessica Singleton","Tesla Model S"
"Jessica Smith","Audi S3"
"Jessica Walker","Tesla Model 3"
"Jessica Williams","Tesla Model Y"
"Jessica Winters","Audi RS3"
"Jill Hooper","Tesla Model S"
"Joe Flynn","Kia Rio"
"John Bennett","Tesla Model 3"
"John Duran","Kia K5"
"John Juarez","Kia Rio"
"John Kim","Hyundai Elantra"
"John Mcdonald","Audi S3"
"John Ortiz","Lada Vesta"
"John Park","Audi S3"
"John Riggs","Lada Vesta, Kia Rio"
"John Robinson","Kia K5"
"John Sanchez","Lada Vesta"
"John Wade","BMW F80"
"John Wilson","Kia K5"
"Johnathan Fernandez","BMW F80"
"Jon Smith","BMW F80"
"Jonathan Hernandez","Tesla Model Y"
"Jonathan Jackson","Kia K5"
"Jonathan Smith","Lada Samara"
"Jonathan Thompson","Lada Kalina"
"Jordan Goodwin","Lada Kalina"
"Jorge Carter","Tesla Model 3, Lada Kalina"
"Jorge Wolfe","Lada Kalina"
"Jose Bradley","Porsche 911"
"Jose Carter","Lada Kalina"
"Jose Love","Tesla Model X, Audi S3"
"Jose Martinez","Hyundai Avante"
"Jose Richardson","Hyundai Elantra"
"Joseph Daniels","Lada Samara"
"Joseph Freeman","Lada Vesta"
"Joseph French","Hyundai Avante"
"Joseph Johnson","Lada Samara"
"Joseph Nolan","BMW F80"
"Joseph Phillips","Hyundai Elantra"
"Joseph Ramirez","BMW F80"
"Joseph Reed","Kia Rio"
"Joseph White","Audi A3"
"Joseph Wolfe","BMW F80"
"Joshua Adams","Audi A3"
"Joshua Calderon","Kia K5, Audi A3"
"Joshua Hernandez","Audi RS3"
"Joshua Osborne","BMW F80"
"Joshua Robinson","BMW M3"
"Joshua Rogers","Lada Kalina"
"Joshua Sheppard","Lada Samara"
"Joy Miller","Tesla Model Y"
"Joyce Beard","Hyundai Sonata"
"Juan Hernandez","Tesla Model X"
"Juan Simmons","Tesla Model 3"
"Julia Avila","BMW M3"
"Julian Spencer","Audi A3"
"Julie Hudson","Tesla Model 3"
"Justin Case Jr.","Kia Rio"
"Kaitlyn Warren","Audi RS3, Tesla Model X"
"Karen Garcia","Audi A3"
"Karen Nolan","Audi RS3"
"Karen Pollard","Tesla Model Y"
"Karen Weber","Lada Samara"
"Karla Rodriguez","Audi A3"
"Katherine Jones","Lada Kalina"
"Katherine Levy","Hyundai Sonata"
"Katherine Robinson","Porsche 911"
"Katherine Wright","Kia Rio"
"Kathleen Cantu","BMW M3"
"Kathleen Dodson","BMW M3"
"Kathleen Duncan","BMW F80"
"Kathleen Kim","Audi A3, Tesla Model X"
"Kathleen Shaw","Tesla Model X"
"Kathleen Vega","Tesla Model 3, Tesla Model 3"
"Kathleen Villanueva","Tesla Model 3"
"Kathryn Merritt","Audi S3"
"Kathryn Scott","Audi S3, Tesla Model X"
"Katie Anderson","Tesla Model 3"
"Katie Clements","Porsche 911"
"Katie Lee","Tesla Model X"
"Katrina Brown","Porsche 911"
"Kayla House","Hyundai Avante"
"Kayla Stewart","Kia K5, Lada Samara"
"Keith Lee","Lada Kalina"
"Keith Lopez","Audi A3"
"Keith Zhang","Tesla Model 3, Lada Samara"
"Kelly Dougherty","Hyundai Elantra"
"Kelly Lyons","Kia K5"
"Kelly Robinson","Kia K5"
"Kelly Rodriguez","Lada Kalina"
"Kelsey Hughes","Audi A3"
"Kenneth Holt","BMW F80"
"Kenneth Mitchell","Audi S3"
"Kenneth Ramirez","Hyundai Avante"
"Kevin Baker","Tesla Model X"
"Kevin Davidson","BMW F80"
"Kevin Holt","Hyundai Avante"
"Kevin Jones","Porsche 911"
"Kevin Orr","Tesla Model S"
"Kevin Thomas","Hyundai Elantra"
"Kevin White","Audi S3"
"Kim Reed","BMW F80, Lada Kalina"
"Kimberly Chambers","Tesla Model 3"
"Kimberly Conner","Hyundai Sonata"
"Kimberly Daniels","Kia K5"
"Kimberly Gray","BMW M3"
"Kimberly Mcfarland","Kia Rio"
"Kimberly Mcknight","Lada Samara"
"Kimberly Montes","Audi A3"
"Kimberly Velasquez","Hyundai Elantra"
"Kristen Klein","Hyundai Elantra"
"Kristin Anderson","Lada Samara"
"Kristin Carter","Porsche 911"
"Kristin Mcdonald","Lada Samara"
"Kristin Williams","BMW M3"
"Kristy Davis","BMW M3"
"Kyle Ruiz","Lada Vesta"
"Kyle Smith","Lada Kalina"
"Kyle Weiss","Audi S3, Lada Vesta"
"Kylie Garcia","Lada Samara"
"Kylie Matthews","Tesla Model X"
"Larry Delgado","Lada Vesta"
"Larry Freeman","Lada Vesta"
"Larry White","Kia K5"
"Laura Castro","Lada Kalina"
"Laura Gonzales","Porsche 911"
"Laura Mcclain","Audi A3, Tesla Model S"
"Laura Mcmahon","Tesla Model 3"
"Laura Smith","Lada Vesta"
"Lauren Hart","Hyundai Sonata"
"Lauren Rhodes","Tesla Model X"
"Laurie Mcdonald","Lada Kalina"
"Lawrence Castillo","BMW F30"
"Lawrence Hays","Tesla Model 3"
"Leslie Carlson","BMW F80"
"Leslie Elliott","Tesla Model 3, BMW F30"
"Levi Duarte","Audi RS3"
"Linda Johnston","Lada Vesta"
"Linda Mcfarland MD","Tesla Model Y"
"Linda Mendez","Audi A3"
"Linda Nelson","Lada Kalina"
"Linda Romero","Audi A3, BMW M3"
"Linda Young","Hyundai Avante, Lada Samara"
"Lindsey Kelley","BMW F80"
"Lisa Anderson","Tesla Model S"
"Lisa Bailey","BMW F30, Audi S3"
"Lisa Bowen","Hyundai Sonata"
"Lisa Flores","Tesla Model 3"
"Lisa Garza","Tesla Model S"
"Lisa Johnson","Lada Samara"
"Lisa Mcdaniel","Hyundai Avante"
"Lisa Osborn","Audi S3"
"Lisa Stewart","Porsche 911"
"Logan Jimenez","Kia Rio"
"Lori Booth","Audi S3, Porsche 911"
"Lori Haynes","Tesla Model Y"
"Lori Miller","Audi A3"
"Lori Ramsey","Lada Kalina"
"Lori Taylor","Audi RS3"
"Lori Ware","Kia Rio"
"Louis Bender","Audi A3"
"Louis Jones","Tesla Model Y"
"Luis Graves","Tesla Model Y"
"Luis Patel","Hyundai Elantra"
"Mackenzie Williams","Audi RS3"
"Makayla Sanchez","Audi S3"
"Manuel Fletcher","Hyundai Sonata"
"Maria Ellis","Hyundai Elantra"
"Maria Miller","Hyundai Sonata"
"Maria Villanueva","Tesla Model S"
"Mark Ellis","Hyundai Avante"
"Mark Frye","Hyundai Sonata"
"Mark Lyons","Audi RS3"
"Mark Smith","Lada Kalina"
"Mark Sullivan","Kia K5"
"Mark Villegas","Hyundai Elantra"
"Mark Watson","Lada Vesta, BMW F80"
"Martha Parker","Hyundai Sonata, Tesla Model 3"
"Martin Cunningham","Audi S3"
"Martin Meza","Hyundai Sonata"
"Marvin Silva","BMW F80"
"Mary Bailey","Tesla Model 3"
"Mary Hawkins","Tesla Model S"
"Mary Moore","BMW F30"
"Mary Perez","Hyundai Sonata"
"Mary Ramirez","Kia K5, Tesla Model 3"
"Mary Ryan","Tesla Model S"
"Mary Willis","Tesla Model S"
"Mathew Campbell","Kia K5"
"Mathew Hernandez","Tesla Model Y"
"Matthew Alexander","Audi S3"
"Matthew Anderson","Audi S3, Tesla Model 3"
"Matthew Dunlap","BMW F80"
"Matthew Griffin","Audi A3"
"Matthew Hill","BMW M3"
"Matthew King","Audi A3"
"Matthew Marshall","Audi A3"
"Meagan Dean","BMW F80"
"Meagan Jackson","Kia K5"
"Megan Anderson","Audi A3"
"Megan Morrow","Tesla Model X"
"Megan Perkins","BMW M3"
"Megan Williams","Audi S3"
"Melanie Neal","Porsche 911"
"Melinda Maldonado","Hyundai Sonata"
"Melissa Alexander","Audi S3"
"Melissa Bond","Kia K5, Lada Samara"
"Melissa Bowman","Lada Vesta, BMW F30"
"Melissa Bridges","Hyundai Avante"
"Melissa Mcdaniel","Lada Vesta"
"Melissa Meyer","Hyundai Avante"
"Melissa Moody","Lada Kalina"
"Melissa Robinson","Kia Rio"
"Melissa Sanders","Tesla Model X, BMW F30"
"Melissa Smith","BMW M3"
"Meredith Jones","BMW M3"
"Michael Cabrera","Hyundai Avante, Audi RS3"
"Michael Coleman","Audi S3"
"Michael Davis","Tesla Model X"
"Michael Holmes","BMW F80"
"Michael Jimenez","Lada Kalina"
"Michael Krueger","Hyundai Sonata"
"Michael Mcguire","Tesla Model S"
"Michael Moore","Lada Vesta"
"Michael Nelson","Tesla Model 3"
"Michael Norman","Audi A3"
"Michael Ramirez","Kia Rio"
"Michael Rose","Audi S3"
"Michael Schmidt","Tesla Model 3"
"Michael Snow","Audi S3"
"Michael Tucker","Porsche 911"
"Michael Velazquez","Tesla Model 3"
"Michael Wise","Audi A3, Hyundai Elantra"
"Michael Wu","Lada Vesta, BMW F80"
"Micheal Walsh","Lada Kalina"
"Michele Hopkins","Kia K5"
"Michele Taylor","Audi S3, Tesla Model S"
"Michelle Cabrera","Hyundai Elantra"
"Michelle Delgado","Kia K5"
"Michelle Fernandez","BMW M3"
"Michelle Hamilton","Tesla Model X"
"Michelle Hernandez","Kia Rio"
"Michelle Jordan","Lada Samara"
"Michelle Moran","Lada Vesta"
"Michelle Richardson","Lada Samara"
"Michelle Stephens","Lada Vesta"
"Mike Melendez","BMW F80"
"Miss Rebecca Andrews","Audi S3, Audi S3"
"Misty Ellison","Hyundai Avante"
"Molly Odom","Hyundai Avante"
"Monica Buchanan","Audi RS3"
"Monica Medina","Porsche 911"
"Morgan Allen","Tesla Model 3"
"Morgan Bell","Kia Rio"
"Mr. Connor Thompson","Tesla Model Y"
"Mr. Edward Brown Jr.","BMW F30"
"Mr. Joseph Mitchell","Hyundai Elantra"
"Mr. Joseph Powers","Tesla Model 3"
"Mrs. Andrea King DVM","Kia K5"
"Mrs. Ashley Mccarthy","Audi S3"
"Mrs. Brittney Hunter","Tesla Model X"
"Mrs. Chelsea Bradley","Hyundai Sonata, BMW F80"
"Mrs. Gloria Zimmerman","Tesla Model S"
"Mrs. Haley Mccoy","BMW F80"
"Mrs. Heather Hutchinson MD","Hyundai Avante"
"Mrs. Joyce Fisher DDS","Porsche 911"
"Mrs. Kristin Soto","BMW F80"
"Mrs. Mary Adams","Audi RS3"
"Mrs. Renee Brooks","Kia K5"
"Natalie Estrada","BMW F30"
"Natalie Morrison","Kia Rio"
"Natalie Thompson","Hyundai Avante"
"Nathan Faulkner","Lada Samara"
"Nathan Meyer","Audi S3"
"Nathan Schmidt","Lada Samara, Lada Kalina"
"Nathaniel Taylor","Audi S3, Audi A3"
"Nicholas Ball","Lada Kalina"
"Nicholas Garner","Tesla Model X"
"Nicholas Gilbert","Hyundai Avante, Tesla Model S"
"Nicholas Rivera","BMW F80, Audi RS3"
"Nicholas Wyatt","Kia Rio"
"Nicole Carey","BMW F80"
"Nicole Floyd","Porsche 911"
"Nicole Gomez","BMW F80"
"Nicole Smith","Tesla Model X, Tesla Model Y"
"Olivia Dixon","Audi S3"
"Olivia Gomez","Hyundai Sonata, Tesla Model 3"
"Pamela Glass","Porsche 911"
"Pamela Soto","Lada Kalina"
"Patricia Christensen","Kia Rio"
"Patricia Flores","Tesla Model Y, Tesla Model X"
"Patrick Chase","Lada Samara, Lada Kalina"
"Patrick Rice","Lada Samara"
"Patrick Simmons","BMW F30"
"Patty Peterson","Audi RS3"
"Paul Crawford","Kia K5"
"Paul Perry","Hyundai Sonata"
"Paul Santiago","BMW F30"
"Paul Townsend","Porsche 911"
"Paula Fisher","Lada Kalina, Tesla Model S"
"Paula Richards","Lada Kalina"
"Paula Williams","Porsche 911"
"Peter Gutierrez","Hyundai Elantra"
"Philip Green","Lada Vesta, Lada Samara"
"Phillip Simmons","Tesla Model X"
"Rachel Austin","Hyundai Elantra"
"Rachel Jensen","Audi A3, Kia Rio"
"Rachel Johnson","Tesla Model S"
"Rachel Scott","Tesla Model X"
"Ralph Smith","Porsche 911"
"Raymond Myers","Kia K5"
"Regina Murphy","Audi S3, Hyundai Avante"
"Reginald Clark","BMW M3"
"Renee Farrell","Tesla Model X"
"Renee Wilson","Lada Vesta"
"Rhonda Casey","Tesla Model 3"
"Rhonda Reyes","Kia Rio"
"Rhonda Sanders","Audi A3"
"Rhonda Simmons","BMW M3"
"Rhonda Wilson","Audi A3"
"Richard Daniels","Kia K5"
"Richard Krueger","Lada Vesta"
"Richard Lynn","Audi RS3, BMW M3"
"Richard Proctor","Hyundai Avante"
"Richard Sharp","Porsche 911"
"Richard Williams","Porsche 911"
"Richard Zhang","Kia Rio"
"Ricky Martin","Tesla Model S"
"Robert Brown","Audi S3"
"Robert Diaz","Tesla Model S"
"Robert Gilmore","BMW F80"
"Robert Hopkins","Lada Vesta"
"Robert Johnson","Hyundai Sonata"
"Robert Jones","Lada Vesta"
"Robert Little","Hyundai Elantra"
"Robert Lopez","BMW F30, Lada Samara"
"Robert Morris","Audi A3"
"Robert Owen","Audi A3"
"Robert Powell","Tesla Model 3"
"Robert Sanchez","Porsche 911"
"Robert Simon","Audi A3, Kia K5"
"Robert Stanley","Hyundai Sonata"
"Roberta Jensen","Hyundai Avante"
"Roberto Moore","Hyundai Avante"
"Robin Wallace","Porsche 911"
"Rodney Wong","Tesla Model Y"
"Ronald Baxter","Audi A3"
"Ronald Brown","Lada Vesta"
"Ronald Calderon","Audi RS3"
"Ronald Holmes","Tesla Model X"
"Ronald Johnson","Audi A3"
"Ronald Mendez","BMW F30"
"Russell Randall","Tesla Model S"
"Ruth Esparza","Porsche 911"
"Ryan Anderson","Tesla Model X"
"Ryan Henderson","Porsche 911"
"Ryan Murphy","Lada Vesta, BMW F80"
"Ryan Patterson","Hyundai Elantra"
"Ryan Perez","Audi S3"
"Ryan Roberts","Lada Samara"
"Sabrina Heath","Porsche 911"
"Sabrina Myers","BMW F80"
"Samantha Bird","BMW F30, Audi A3"
"Samantha Kelly","Tesla Model 3"
"Samantha Silva","Porsche 911"
"Samuel Alvarez","Lada Samara"
"Samuel Ellis","Tesla Model X"
"Samuel Hardy","BMW F80"
"Samuel Martinez","Kia Rio"
"Samuel Walker","Tesla Model Y"
"Sandra Davis","Lada Samara"
"Sandra Davis DDS","BMW F30"
"Sandra Mejia","Lada Kalina"
"Sandra Wheeler","Audi A3"
"Sara Le","Hyundai Avante"
"Sara Nelson","Hyundai Elantra"
